frame_idx,video_time_ms,easyocr_pred,trocr_pred,same_pred,easyocr_latency_ms,trocr_latency_ms,latency_gap_ms_trocr_minus_easyocr,easyocr_score,trocr_score,easyocr_bbox,trocr_bbox
52,1733.3333333333335,,7,false,636.7611,2072.8685,1436.1074,0.0,0.6768587231636047,"[535, 605, 630, 719]","[535, 605, 630, 719]"
53,1766.6666666666667,,1,false,818.2899,1539.2379,720.9480,0.0,0.3957933187484741,"[550, 595, 647, 718]","[550, 595, 647, 718]"
54,1800.0,,410MT,false,566.2278,2293.5688,1727.3410,0.0,0.438973605632782,"[354, 698, 478, 719]","[354, 698, 478, 719]"
55,1833.3333333333335,,19C1,false,687.3422,2255.7705,1568.4283,0.0,0.785940945148468,"[375, 684, 495, 719]","[375, 684, 495, 719]"
56,1866.6666666666667,,719C1,false,755.8769,2878.0943,2122.2174,0.0,0.8347114324569702,"[391, 672, 511, 719]","[391, 672, 511, 719]"
57,1900.0000000000002,,13951,false,656.7017,3261.9626,2605.2609,0.0,0.8699815273284912,"[410, 662, 525, 718]","[410, 662, 525, 718]"
58,1933.3333333333333,392,6,false,1246.5808,1870.8308,624.2500,0.8863363265991211,0.8863363265991211,"[434, 652, 538, 719]","[434, 652, 538, 719]"
59,1966.6666666666667,302,SR,false,1829.9114,1956.7322,126.8208,0.9052618741989136,0.9052618741989136,"[457, 643, 550, 716]","[457, 643, 550, 716]"
60,2000.0,224,SR2,false,1351.7099,2491.9577,1140.2478,0.5678335843942679,0.9024720788002014,"[474, 635, 562, 696]","[474, 635, 562, 696]"
61,2033.3333333333333,282,882,false,1564.7656,2795.0504,1230.2848,0.8407213911219376,0.9001356363296509,"[488, 627, 574, 690]","[488, 627, 574, 690]"
62,2066.666666666667,32,62018,false,1049.6304,2181.8169,1132.1865,0.4347269441859525,0.8954034447669983,"[500, 620, 584, 679]","[500, 620, 584, 679]"
63,2100.0,824,62018,false,2196.0327,1951.7587,-244.2740,0.6561294794082642,0.9045953750610352,"[514, 612, 593, 671]","[514, 612, 593, 671]"
64,2133.3333333333335,7901,38293,false,1908.9962,1942.1510,33.1548,0.630223558153845,0.8690201640129089,"[526, 606, 602, 664]","[526, 606, 602, 664]"
65,2166.666666666667,88Z4,38293,false,1695.8452,2605.9877,910.1425,0.31276999741590095,0.7309244275093079,"[535, 598, 613, 656]","[535, 598, 613, 656]"
66,2200.0,384,3829,false,1064.2038,1466.0270,401.8232,0.48197974394817555,0.781082272529602,"[543, 591, 621, 646]","[543, 591, 621, 646]"
67,2233.3333333333335,382,320,false,1093.0359,2054.9904,961.9545,0.293826175863283,0.7597967982292175,"[556, 584, 629, 639]","[556, 584, 629, 639]"
68,2266.6666666666665,3124,,false,1666.9573,1281.7975,-385.1598,0.39463526010513306,0.692060649394989,"[564, 578, 639, 634]","[564, 578, 639, 634]"
69,2300.0000000000005,3824,5828,false,1540.3764,1596.6356,56.2592,0.7222141623497009,0.7763373851776123,"[574, 574, 645, 625]","[574, 574, 645, 625]"
70,2333.3333333333335,3824,3829,false,1183.7532,2207.1789,1023.4257,0.47938624024391174,0.5648331642150879,"[581, 569, 654, 619]","[581, 569, 654, 619]"
71,2366.6666666666665,79,38298,false,1545.3282,1864.4101,319.0819,0.7231229543685913,0.7231229543685913,"[590, 563, 660, 614]","[590, 563, 660, 614]"
72,2400.0,3821,38298,false,1249.6722,1576.7933,327.1211,0.32159244958630556,0.7099064588546753,"[594, 562, 665, 611]","[594, 562, 665, 611]"
73,2433.3333333333335,79,38293,false,1252.8890,1688.4801,435.5911,0.7259595394134521,0.7259595394134521,"[602, 558, 668, 606]","[602, 558, 668, 606]"
74,2466.666666666667,382,38293,false,1778.6759,1454.1151,-324.5608,0.48073452711105347,0.48073452711105347,"[609, 553, 675, 601]","[609, 553, 675, 601]"
75,2500.0,3822,38293,false,1810.4868,1360.1998,-450.2870,0.39840951561927795,0.39840951561927795,"[616, 549, 683, 598]","[616, 549, 683, 598]"
76,2533.3333333333335,382,38293,false,2136.2729,2289.0821,152.8092,0.30362895131111145,0.30362895131111145,"[623, 544, 689, 592]","[623, 544, 689, 592]"
77,2566.666666666667,,,true,239.4805,368.6438,129.1633,0.0,0.0,,
78,2600.0,,,true,127.3849,283.7104,156.3255,0.0,0.0,,
79,2633.3333333333335,,,true,388.6767,232.9897,-155.6870,0.0,0.0,,
80,2666.666666666667,,,true,352.8784,159.4543,-193.4241,0.0,0.0,,
81,2700.0,,,true,273.0519,115.7732,-157.2787,0.0,0.0,,
82,2733.3333333333335,,,true,252.9359,130.7117,-122.2242,0.0,0.0,,
83,2766.6666666666665,,,true,252.7964,169.1128,-83.6836,0.0,0.0,,
84,2800.0000000000005,,,true,255.8989,153.5362,-102.3627,0.0,0.0,,
85,2833.3333333333335,,,true,196.2781,236.9920,40.7139,0.0,0.0,,
86,2866.6666666666665,,,true,274.6359,215.2122,-59.4237,0.0,0.0,,
87,2900.0000000000005,,,true,422.1948,128.3710,-293.8238,0.0,0.0,,
88,2933.3333333333335,,,true,227.5685,117.8103,-109.7582,0.0,0.0,,
89,2966.666666666667,,,true,266.4984,156.0727,-110.4257,0.0,0.0,,
90,3000.0,,,true,120.3450,218.5250,98.1800,0.0,0.0,,
91,3033.3333333333335,,,true,456.5894,197.3542,-259.2352,0.0,0.0,,
92,3066.666666666667,,,true,352.0205,358.0521,6.0316,0.0,0.0,,
93,3100.0,,,true,263.8226,189.5971,-74.2255,0.0,0.0,,
94,3133.3333333333335,,,true,276.5594,145.0861,-131.4733,0.0,0.0,,
95,3166.666666666667,,,true,178.9606,144.4295,-34.5311,0.0,0.0,,
96,3200.0,,,true,533.2311,236.0777,-297.1534,0.0,0.0,,
97,3233.3333333333335,,,true,492.4643,248.3108,-244.1535,0.0,0.0,,
98,3266.6666666666665,,,true,305.2532,141.5769,-163.6763,0.0,0.0,,
99,3300.0000000000005,,,true,496.6182,239.2778,-257.3404,0.0,0.0,,
100,3333.3333333333335,,,true,303.9410,286.8726,-17.0684,0.0,0.0,,
